max_bpm,avg_bpm,resting_bpm,fat_percentage,water_intake (liters)
164,147.0,56.0,30.8,1.6
170,160.0,66.0,22.8,3.6
188,162.0,58.0,24.3,
187,152.0,73.0,27.1,1.6
192,120.0,59.0,19.0,1.8
189,163.0,66.0,21.9,3.2
190,161.0,70.0,24.5,3.3
172,,71.0,24.9,1.8
172,151.0,,28.2,2.7
173,120.0,60.0,26.3,
190,146.0,56.0,27.5,3.3
168,167.0,55.0,32.3,1.6
169,137.0,72.0,23.3,2.7
197,133.0,56.0,11.1,3.2
168,166.0,59.0,23.1,1.9
179,132.0,74.0,27.0,3.5
194,145.0,64.0,30.3,3.3
180,169.0,63.0,25.3,1.5
196,159.0,52.0,16.4,3.5
197,141.0,55.0,23.4,2.9
185,138.0,73.0,25.5,1.8
165,169.0,57.0,30.0,3.5
179,161.0,73.0,27.7,2.5
167,158.0,72.0,27.9,2.9
174,127.0,72.0,23.6,2.9
191,135.0,67.0,13.7,1.6
192,156.0,58.0,21.3,3.2
193,127.0,70.0,16.4,3.4
177,129.0,54.0,18.3,2.6
199,169.0,56.0,14.4,
176,167.0,58.0,28.4,3.6
165,163.0,57.0,31.7,2.5
198,144.0,58.0,23.8,1.8
172,130.0,64.0,27.7,3.4
190,159.0,63.0,23.6,3.6
163,152.0,71.0,25.8,2.3
,143.0,71.0,25.7,3.3
181,169.0,74.0,25.5,1.5
187,131.0,68.0,27.5,3.3
186,120.0,74.0,32.0,2.7
168,152.0,74.0,27.5,3.5
162,126.0,62.0,25.6,1.5
179,139.0,74.0,27.7,1.6
174,167.0,60.0,28.6,1.5
182,147.0,64.0,19.0,3.2
162,165.0,74.0,22.2,1.9
173,169.0,66.0,28.3,1.5
194,,73.0,23.4,2.3
185,149.0,52.0,23.5,2.1
179,126.0,74.0,22.9,3.1
191,159.0,69.0,15.6,3.4
175,156.0,50.0,14.6,3.4
174,125.0,50.0,30.8,3.4
197,154.0,73.0,23.5,2.4
184,123.0,62.0,15.1,1.7
190,167.0,67.0,29.1,1.8
175,134.0,70.0,16.8,
180,158.0,72.0,19.7,3.5
198,128.0,50.0,31.2,3.4
189,137.0,74.0,24.7,2.6
191,162.0,52.0,14.2,1.9
174,161.0,74.0,10.0,3.2
170,139.0,74.0,10.0,3.3
187,162.0,66.0,28.0,2.2
184,160.0,74.0,10.0,2.1
185,166.0,58.0,10.6,3.5
173,158.0,71.0,26.4,3.5
161,163.0,59.0,21.4,1.5
195,127.0,53.0,23.1,1.5
189,147.0,73.0,27.3,3.3
164,,57.0,23.5,3.3
198,141.0,51.0,22.7,1.8
171,132.0,72.0,30.4,3.6
167,154.0,70.0,29.8,2.1
192,167.0,74.0,18.7,1.9
172,126.0,64.0,16.9,2.1
193,148.0,54.0,27.1,3.6
173,140.0,67.0,27.3,2.7
182,146.0,68.0,20.7,3.0
182,151.0,50.0,21.0,3.5
196,165.0,55.0,26.9,2.6
165,139.0,70.0,20.6,2.1
161,127.0,74.0,20.7,3.7
199,162.0,74.0,,2.3
172,157.0,52.0,23.5,1.6
183,128.0,74.0,24.8,3.3
162,167.0,63.0,23.5,2.9
164,158.0,74.0,25.9,2.6
176,158.0,53.0,23.7,1.5
177,165.0,72.0,10.0,
186,124.0,60.0,16.9,2.5
169,152.0,63.0,24.9,1.5
177,124.0,66.0,22.5,
171,159.0,61.0,26.4,2.0
189,123.0,58.0,26.2,3.2
199,140.0,55.0,28.1,1.6
172,169.0,55.0,27.4,3.7
199,137.0,74.0,26.7,3.3
185,169.0,67.0,30.6,1.5
163,140.0,64.0,19.0,1.9
194,167.0,57.0,25.0,2.6
199,152.0,74.0,26.7,3.5
161,136.0,57.0,24.4,3.3
187,154.0,63.0,30.7,3.5
161,164.0,73.0,26.6,3.5
189,142.0,64.0,34.7,2.6
193,121.0,,25.7,2.6
169,159.0,52.0,29.8,3.5
169,120.0,72.0,21.9,3.4
160,143.0,74.0,19.6,2.0
187,128.0,54.0,10.0,3.3
198,140.0,61.0,22.0,3.5
168,156.0,65.0,32.5,2.1
194,136.0,69.0,27.2,2.3
184,140.0,70.0,21.0,1.5
163,120.0,63.0,25.3,3.3
182,153.0,70.0,15.8,
191,151.0,72.0,24.3,1.5
166,130.0,59.0,21.6,1.5
199,125.0,55.0,15.0,3.4
198,160.0,53.0,32.6,3.4
175,165.0,74.0,26.3,2.7
195,137.0,52.0,18.6,1.5
173,126.0,50.0,31.9,1.6
192,156.0,72.0,12.8,1.7
196,126.0,74.0,20.2,2.5
175,142.0,70.0,21.2,1.8
191,150.0,74.0,13.1,2.2
172,169.0,59.0,24.9,2.8
198,155.0,55.0,26.0,3.3
190,120.0,58.0,14.4,3.1
199,134.0,68.0,19.8,3.5
192,153.0,71.0,11.4,2.0
168,125.0,54.0,25.1,2.4
175,143.0,74.0,25.4,3.3
194,124.0,70.0,23.6,3.3
187,126.0,57.0,23.5,1.6
186,153.0,74.0,10.9,2.4
168,154.0,74.0,19.9,3.4
199,121.0,72.0,23.6,3.4
185,,74.0,24.3,2.9
192,134.0,55.0,12.0,2.6
185,154.0,60.0,28.8,3.2
198,129.0,58.0,28.1,1.5
191,140.0,66.0,21.0,3.6
195,169.0,60.0,16.7,3.5
196,162.0,58.0,30.4,2.6
163,167.0,74.0,23.7,3.2
178,141.0,64.0,26.1,3.2
163,166.0,61.0,28.1,3.7
199,152.0,72.0,23.0,2.2
196,169.0,71.0,28.0,3.4
161,169.0,56.0,29.6,2.4
193,136.0,62.0,22.0,3.5
183,134.0,74.0,24.6,1.9
163,131.0,74.0,15.3,3.3
177,166.0,53.0,18.0,2.2
175,166.0,63.0,27.8,3.4
172,164.0,53.0,20.6,3.4
193,130.0,57.0,25.6,
192,135.0,59.0,10.0,2.7
193,158.0,72.0,25.6,2.4
172,137.0,74.0,22.4,3.4
191,148.0,69.0,21.4,2.3
172,140.0,62.0,28.6,3.6
198,158.0,74.0,27.2,3.0
174,159.0,50.0,25.7,2.5
183,138.0,53.0,19.1,3.6
171,150.0,54.0,21.8,2.4
183,149.0,74.0,23.1,2.3
197,164.0,53.0,24.8,
183,154.0,71.0,26.5,1.7
196,155.0,70.0,12.1,1.7
167,127.0,54.0,24.3,2.6
186,150.0,51.0,27.0,2.8
198,129.0,71.0,22.9,3.3
179,139.0,60.0,23.3,3.2
187,167.0,54.0,15.4,1.6
,156.0,53.0,28.4,2.4
199,122.0,71.0,21.7,1.5
168,167.0,64.0,34.4,2.8
181,157.0,54.0,13.9,2.1
198,133.0,74.0,21.4,1.5
172,149.0,62.0,30.0,3.5
177,,73.0,23.3,3.2
168,144.0,71.0,25.5,3.4
164,132.0,50.0,26.6,3.1
195,153.0,62.0,14.4,3.1
164,156.0,67.0,33.1,2.8
163,164.0,68.0,18.5,3.2
172,124.0,68.0,21.4,3.5
187,155.0,68.0,29.3,3.2
184,125.0,52.0,28.9,3.3
164,154.0,70.0,20.7,1.7
198,122.0,58.0,28.6,3.1
180,165.0,67.0,24.0,3.5
164,155.0,74.0,24.7,2.5
173,127.0,66.0,26.7,1.6
192,162.0,50.0,27.1,2.6
194,148.0,74.0,16.5,3.5
184,147.0,67.0,15.6,3.4
189,166.0,65.0,14.3,2.9
198,169.0,55.0,28.9,3.1
176,125.0,58.0,24.0,3.3
189,169.0,74.0,13.6,3.5
161,131.0,50.0,26.1,1.5
192,151.0,71.0,15.5,3.1
183,128.0,72.0,21.9,2.2
190,136.0,69.0,21.4,3.5
161,130.0,74.0,16.8,3.3
170,148.0,55.0,17.8,2.5
177,120.0,73.0,16.8,2.6
171,138.0,53.0,29.1,2.4
178,160.0,60.0,28.5,1.7
192,123.0,57.0,26.8,3.1
186,122.0,56.0,27.6,3.5
178,150.0,57.0,28.8,2.0
189,127.0,74.0,15.2,2.8
179,163.0,59.0,28.2,1.7
177,130.0,50.0,23.2,1.7
171,130.0,54.0,27.3,3.3
181,133.0,50.0,23.4,1.5
198,135.0,56.0,18.8,3.4
190,120.0,65.0,29.4,1.5
168,154.0,71.0,30.6,2.6
164,169.0,58.0,17.0,1.6
196,169.0,56.0,29.0,1.9
190,155.0,53.0,27.7,3.5
188,138.0,71.0,28.3,3.5
192,140.0,52.0,29.8,3.5
177,150.0,58.0,25.8,3.6
184,123.0,64.0,10.0,3.4
181,169.0,73.0,28.3,1.6
194,148.0,73.0,12.7,3.3
176,141.0,66.0,24.1,3.0
174,165.0,74.0,27.1,2.7
190,138.0,55.0,22.6,1.5
166,124.0,67.0,32.7,3.4
195,125.0,74.0,20.0,3.5
197,126.0,73.0,29.2,1.8
168,128.0,59.0,14.9,2.4
170,167.0,73.0,27.5,1.6
161,150.0,52.0,23.8,2.6
193,120.0,52.0,21.2,2.5
166,120.0,74.0,16.2,3.3
161,168.0,65.0,10.0,3.2
179,169.0,53.0,25.7,3.3
163,133.0,64.0,34.5,1.5
167,120.0,52.0,29.2,2.6
189,150.0,74.0,16.5,3.5
165,120.0,69.0,21.7,1.9
190,140.0,74.0,14.9,2.5
194,158.0,67.0,30.6,1.9
193,152.0,58.0,23.2,2.1
174,164.0,57.0,26.2,2.7
181,161.0,68.0,22.5,1.9
177,153.0,74.0,10.0,2.4
169,149.0,50.0,29.0,3.6
190,145.0,72.0,,3.3
198,132.0,57.0,10.0,3.2
196,144.0,68.0,26.7,3.7
183,128.0,74.0,20.9,2.8
188,131.0,54.0,11.9,1.9
185,158.0,56.0,31.9,3.5
188,143.0,58.0,27.7,2.0
184,167.0,50.0,14.6,3.5
168,167.0,71.0,17.1,1.5
169,136.0,66.0,22.8,3.3
176,130.0,70.0,17.0,3.6
194,120.0,50.0,28.8,1.9
176,162.0,69.0,26.9,3.2
166,128.0,59.0,10.0,2.6
184,162.0,74.0,27.2,3.4
172,153.0,56.0,15.6,3.4
174,156.0,56.0,20.4,3.4
171,122.0,73.0,21.6,1.8
178,147.0,71.0,17.3,3.5
168,126.0,55.0,23.9,1.5
191,169.0,71.0,29.0,2.7
160,160.0,74.0,27.0,3.2
195,133.0,74.0,19.9,3.4
191,146.0,52.0,26.9,3.7
178,138.0,72.0,25.8,3.6
194,156.0,73.0,20.5,2.5
167,168.0,74.0,26.9,3.2
185,135.0,71.0,29.7,1.5
178,147.0,56.0,29.9,1.8
165,134.0,69.0,29.2,1.7
184,125.0,66.0,25.2,2.6
187,126.0,70.0,23.8,2.6
161,142.0,74.0,19.8,3.2
169,161.0,69.0,24.2,1.5
177,156.0,70.0,25.4,3.4
194,153.0,65.0,22.2,3.2
181,169.0,74.0,18.2,1.5
179,161.0,58.0,17.6,1.8
189,135.0,,26.6,3.3
171,140.0,52.0,16.1,2.7
183,150.0,57.0,31.4,3.1
171,150.0,68.0,22.8,2.2
186,169.0,51.0,35.0,2.0
196,149.0,56.0,27.6,1.9
184,169.0,55.0,32.4,2.5
188,131.0,60.0,27.4,3.6
180,,70.0,22.6,2.3
168,135.0,53.0,35.0,3.3
174,126.0,70.0,25.0,3.7
162,162.0,54.0,16.9,2.3
179,135.0,69.0,26.0,2.9
194,145.0,55.0,33.9,2.2
172,133.0,71.0,25.2,2.1
164,134.0,74.0,26.0,1.8
185,148.0,58.0,22.5,3.5
164,122.0,73.0,27.8,1.5
177,134.0,74.0,26.4,3.7
193,124.0,72.0,11.2,2.2
164,164.0,51.0,25.8,3.5
189,169.0,58.0,24.6,3.6
196,137.0,73.0,21.4,2.5
193,155.0,51.0,24.0,2.8
168,137.0,55.0,27.0,3.1
165,150.0,70.0,31.4,3.7
170,135.0,62.0,13.7,2.5
170,142.0,63.0,22.3,2.4
197,162.0,59.0,28.8,3.4
177,164.0,53.0,23.3,2.9
163,157.0,67.0,23.7,2.0
180,127.0,54.0,27.2,2.4
165,140.0,72.0,11.1,1.5
\t182,168.0,52.0,33.1,2.5
192,169.0,62.0,32.8,1.7
188,131.0,69.0,33.1,1.5
191,152.0,69.0,15.4,2.6
182,158.0,70.0,24.4,2.7
191,169.0,74.0,28.2,3.5
174,148.0,50.0,27.4,
194,121.0,55.0,24.5,2.0
175,169.0,61.0,14.0,2.7
191,157.0,55.0,25.2,1.5
183,135.0,74.0,23.9,3.1
180,168.0,55.0,24.6,2.0
197,158.0,72.0,23.4,3.2
187,141.0,74.0,30.3,3.4
168,144.0,68.0,27.3,2.4
180,130.0,57.0,17.0,3.0
185,167.0,73.0,29.6,2.3
190,156.0,72.0,18.5,2.7
163,122.0,68.0,26.9,1.6
164,143.0,73.0,23.5,3.4
196,152.0,50.0,24.8,3.7
172,164.0,60.0,25.0,3.2
191,128.0,59.0,19.1,2.6
187,136.0,56.0,22.2,2.3
190,142.0,56.0,21.3,1.6
183,155.0,74.0,10.5,2.4
181,150.0,72.0,27.1,3.6
187,135.0,66.0,10.0,3.4
195,137.0,64.0,29.8,2.7
166,139.0,71.0,26.0,3.2
191,152.0,60.0,31.5,1.5
176,169.0,63.0,21.1,1.9
162,136.0,71.0,22.8,3.4
180,157.0,54.0,26.3,1.9
191,,67.0,15.5,3.5
166,143.0,66.0,23.7,3.3
189,157.0,71.0,20.1,3.4
189,138.0,73.0,34.0,2.3
177,120.0,69.0,27.2,1.7
162,120.0,63.0,31.7,
168,153.0,57.0,25.0,3.1
161,154.0,61.0,26.5,2.0
165,151.0,59.0,24.9,3.4
181,166.0,72.0,15.8,3.7
182,166.0,66.0,25.5,2.7
198,146.0,69.0,31.9,2.9
189,152.0,58.0,21.2,1.6
199,142.0,56.0,35.0,3.5
179,138.0,68.0,23.2,3.5
189,126.0,57.0,25.6,3.2
172,129.0,69.0,22.9,3.2
186,124.0,74.0,29.6,1.5
182,162.0,65.0,27.6,3.6
169,120.0,73.0,22.9,2.4
192,120.0,74.0,27.2,1.5
,139.0,64.0,24.6,2.8
192,165.0,74.0,35.0,1.5
187,163.0,59.0,23.9,3.7
184,130.0,68.0,25.1,1.7
167,141.0,68.0,14.7,1.5
179,142.0,74.0,19.2,3.5
181,169.0,52.0,14.5,3.4
189,168.0,56.0,16.3,3.5
,124.0,69.0,26.4,3.2
164,131.0,74.0,19.5,2.4
170,169.0,72.0,17.4,1.5
194,159.0,70.0,13.5,2.5
183,169.0,66.0,27.9,1.7
189,120.0,74.0,14.8,2.1
192,169.0,51.0,28.5,1.9
192,167.0,74.0,28.8,3.4
190,137.0,58.0,30.4,3.4
179,124.0,74.0,22.8,2.1
185,133.0,60.0,13.1,2.5
190,123.0,54.0,28.8,3.3
175,120.0,71.0,17.2,3.0
194,162.0,72.0,27.6,2.0
176,135.0,56.0,27.1,1.5
163,137.0,61.0,31.7,1.7
191,154.0,58.0,29.1,3.2
163,158.0,58.0,14.0,3.4
161,144.0,62.0,26.1,2.0
176,122.0,73.0,10.0,3.7
160,123.0,62.0,22.0,3.4
165,141.0,60.0,16.9,1.5
188,128.0,73.0,29.3,3.3
191,151.0,59.0,19.2,2.0
184,122.0,65.0,10.0,3.5
188,169.0,50.0,28.1,3.6
196,136.0,,13.0,1.6
195,154.0,58.0,24.3,1.5
164,127.0,57.0,29.6,3.5
178,168.0,63.0,25.6,3.3
194,169.0,72.0,31.4,1.8
199,123.0,60.0,25.0,3.1
188,137.0,71.0,26.9,3.6
188,169.0,72.0,22.5,3.7
192,129.0,54.0,13.8,3.1
164,156.0,50.0,23.6,2.5
173,164.0,72.0,16.3,3.2
\n175,126.0,59.0,26.1,1.5
\t182,163.0,72.0,26.0,3.4
190,149.0,74.0,31.8,3.0
172,159.0,59.0,19.9,3.0
185,132.0,50.0,22.7,2.3
192,168.0,50.0,29.4,3.5
174,136.0,71.0,31.7,2.6
196,159.0,55.0,25.2,2.3
191,153.0,73.0,16.7,2.9
189,146.0,63.0,24.3,2.5
197,127.0,56.0,28.3,2.4
186,151.0,55.0,23.0,2.1
171,165.0,72.0,26.1,3.4
167,156.0,50.0,11.5,3.5
191,130.0,74.0,13.9,2.8
196,138.0,61.0,29.8,3.4
168,155.0,50.0,14.2,3.4
182,168.0,70.0,10.0,2.5
185,126.0,60.0,21.1,3.4
177,168.0,50.0,11.6,3.1
181,147.0,59.0,21.8,2.8
193,168.0,72.0,21.5,3.6
184,167.0,71.0,24.2,2.1
168,144.0,54.0,29.0,3.4
197,144.0,74.0,13.8,3.3
174,169.0,55.0,,1.5
160,120.0,72.0,21.0,3.3
179,169.0,59.0,23.9,2.7
198,155.0,74.0,24.4,1.8
188,148.0,57.0,10.0,3.5
176,143.0,55.0,24.5,2.4
188,153.0,56.0,24.4,3.3
194,145.0,50.0,21.8,1.9
181,169.0,73.0,23.8,2.3
185,142.0,68.0,25.5,3.4
163,163.0,68.0,19.2,3.7
189,155.0,74.0,29.5,3.4
191,152.0,71.0,26.8,1.8
180,143.0,68.0,23.8,3.2
175,154.0,60.0,20.9,3.2
196,151.0,67.0,10.0,3.3
196,120.0,73.0,27.9,1.5
167,169.0,57.0,29.8,3.1
191,169.0,58.0,22.2,2.2
172,155.0,59.0,23.6,1.6
167,134.0,69.0,26.1,1.8
193,137.0,61.0,21.6,2.3
187,155.0,60.0,30.7,3.4
161,169.0,50.0,17.8,2.1
178,132.0,72.0,27.3,3.2
171,153.0,65.0,18.7,2.5
198,164.0,70.0,26.7,1.5
170,152.0,59.0,20.4,1.5
176,132.0,,23.9,1.7
162,135.0,65.0,18.2,3.7
193,138.0,74.0,28.0,3.7
172,148.0,72.0,14.7,1.7
191,167.0,71.0,10.0,3.5
195,130.0,68.0,22.1,3.4
175,137.0,,23.0,2.5
163,169.0,72.0,25.6,3.3
191,150.0,61.0,24.3,1.7
196,135.0,68.0,27.2,3.2
160,140.0,50.0,17.1,2.1
190,168.0,56.0,32.0,2.3
161,169.0,61.0,23.5,2.6
196,125.0,55.0,30.0,
170,160.0,55.0,25.9,1.8
188,141.0,74.0,12.1,3.5
164,155.0,72.0,27.2,2.5
168,137.0,64.0,29.8,3.3
172,136.0,74.0,10.0,3.1
172,166.0,56.0,19.8,3.1
170,144.0,57.0,24.5,1.9
165,169.0,68.0,30.2,2.6
165,132.0,68.0,31.7,3.2
194,138.0,55.0,23.7,2.6
180,164.0,68.0,22.1,2.6
177,140.0,71.0,23.6,1.9
160,155.0,74.0,23.9,3.2
190,137.0,54.0,30.5,1.9
161,147.0,51.0,24.0,3.3
170,141.0,61.0,32.8,2.4
170,131.0,72.0,32.0,3.2
196,137.0,59.0,13.4,3.7
193,142.0,50.0,29.7,3.6
199,144.0,71.0,19.6,1.8
161,146.0,69.0,21.3,2.5
194,145.0,54.0,24.4,2.5
185,121.0,70.0,28.5,2.2
192,151.0,67.0,18.0,3.5
169,136.0,64.0,24.6,2.1
193,162.0,56.0,17.6,1.6
173,125.0,56.0,22.3,2.8
189,129.0,56.0,27.8,3.3
199,135.0,61.0,26.1,2.2
197,125.0,51.0,27.6,3.3
176,142.0,74.0,26.7,3.4
187,139.0,50.0,20.9,3.7
,128.0,52.0,25.3,3.1
193,122.0,65.0,23.1,3.2
181,144.0,56.0,26.3,2.6
177,159.0,57.0,10.0,2.4
168,160.0,51.0,25.1,3.7
193,128.0,51.0,22.4,3.5
178,131.0,74.0,32.4,1.6
161,142.0,65.0,18.7,1.6
198,139.0,57.0,12.5,3.4
198,134.0,74.0,28.1,3.1
182,167.0,67.0,23.8,2.3
177,153.0,74.0,23.5,1.6
164,160.0,66.0,10.0,2.9
161,145.0,73.0,32.4,1.7
196,120.0,58.0,24.9,1.5
169,152.0,58.0,20.9,3.5
176,123.0,74.0,30.5,3.4
171,126.0,69.0,21.3,3.1
177,142.0,67.0,27.4,3.0
175,167.0,74.0,25.3,3.3
191,137.0,50.0,24.1,2.5
177,133.0,57.0,27.3,3.1
165,169.0,72.0,23.3,3.4
184,141.0,68.0,15.0,3.7
190,151.0,65.0,16.7,3.3
