age,gender,weight (kg),height (m),bmi
18.0,Male,50.6,1.89,27.87
31.0,Female,71.0,1.81,14.52
28.0,Female,70.0,1.74,21.91
23.0,Male,57.8,1.87,13.33
48.0,Male,67.3,1.61,18.23
52.0,Female,73.5,1.78,18.08
18.0,Male,94.7,1.52,22.4
47.0,Male,40.0,1.89,26.2
54.0,Female,63.5,1.51,17.05
22.0,Female,60.1,1.71,26.74
43.0,Male,70.4,1.62,17.91
31.0,Male,40.0,1.77,14.09
48.0,Male,55.5,1.5,32.42
51.0,Male,75.7,,22.86
23.0,Female,95.6,1.5,13.38
43.0,Male,102.5,1.79,17.07
50.0,Male,56.6,1.96,20.69
30.0,Male,40.0,1.67,12.32
25.0,Female,74.9,1.66,15.98
19.0,Female,82.8,1.79,21.95
45.0,Female,40.0,1.93,23.52
41.0,Female,73.3,1.71,25.83
53.0,Male,55.3,1.98,20.9
35.0,Male,95.9,1.69,24.01
33.0,Male,89.6,1.62,25.68
21.0,Male,86.3,1.86,12.93
27.0,Female,71.3,,12.32
33.0,Male,42.7,1.82,42.84
33.0,Female,103.3,1.72,12.42
33.0,Male,76.8,1.72,25.47
23.0,Female,69.1,1.63,31.27
30.0,Male,75.6,1.82,15.35
18.0,Female,42.0,1.74,19.62
56.0,Male,62.9,1.5,32.25
22.0,Female,53.5,1.76,17.16
21.0,Female,90.7,1.75,12.66
21.0,Male,74.7,1.59,21.53
50.0,Male,82.6,1.71,12.32
27.0,Male,40.0,1.76,12.32
27.0,Female,70.1,1.58,24.04
29.0,Female,40.2,1.7,18.63
19.0,Female,76.4,1.79,14.21
39.0,Male,78.5,1.59,16.24
18.0,,72.1,1.79,12.32
26.0,Male,61.0,1.97,24.27
20.0,Female,82.6,1.6,15.06
34.0,Male,91.2,1.5,24.8
18.0,Male,64.2,1.61,12.83
23.0,Male,46.7,1.65,19.8
28.0,Female,74.2,1.5,24.11
18.0,Female,64.0,1.51,14.98
32.0,Male,52.8,1.61,18.1
26.0,Male,,1.77,21.49
47.0,Male,40.0,1.73,26.91
26.0,Female,85.8,1.87,18.34
19.0,Male,40.0,1.59,13.85
26.0,Female,86.6,,17.94
39.0,Male,70.7,1.58,21.17
37.0,Female,40.0,1.59,
19.0,Female,66.7,1.73,19.24
39.0,Female,72.1,1.52,20.85
53.0,Male,80.5,1.64,12.32
41.0,Male,77.0,1.5,26.26
23.0,Male,117.8,1.88,14.24
31.0,Female,76.2,1.64,40.63
50.0,Female,57.3,1.72,22.6
22.0,Female,103.1,1.72,16.79
29.0,Female,77.4,1.69,16.23
18.0,Male,84.1,1.78,14.46
29.0,Male,40.0,1.86,19.92
42.0,Male,66.0,1.6,17.81
51.0,Female,84.6,1.77,24.89
51.0,Male,100.7,1.75,15.9
22.0,Male,58.6,2.0,20.99
21.0,Female,57.4,1.74,24.67
21.0,Male,69.5,1.54,14.68
26.0,Female,42.2,1.91,24.27
18.0,Male,61.3,1.6,14.7
18.0,Male,66.6,1.62,12.58
37.0,Female,94.4,1.7,19.3
45.0,Male,111.9,1.73,12.32
18.0,Female,92.0,1.79,20.25
18.0,Female,,1.76,25.72
51.0,Male,61.1,1.82,45.75
18.0,Female,96.0,1.82,12.32
27.0,Female,89.7,1.67,17.56
34.0,Female,61.0,1.69,18.07
31.0,Female,75.6,1.57,26.35
23.0,Female,40.0,1.76,12.32
54.0,,46.8,1.67,22.04
19.0,Female,90.6,1.85,19.15
47.0,Female,90.8,1.67,18.39
33.0,Female,129.9,1.69,23.37
50.0,Female,69.3,,22.79
19.0,Female,40.0,1.77,19.2
27.0,Male,112.6,1.79,22.96
49.0,Male,54.2,1.64,23.01
46.0,Male,108.9,1.86,27.29
37.0,,69.4,1.61,12.32
52.0,Male,40.0,1.6,27.66
26.0,Male,43.2,1.8,27.59
45.0,,68.7,1.7,24.13
18.0,Female,61.1,1.74,16.61
38.0,Male,85.5,1.77,16.38
18.0,Female,50.1,1.8,29.04
45.0,Male,129.9,1.75,36.13
47.0,Female,93.3,1.73,12.32
45.0,Female,73.7,1.7,15.88
55.0,Female,69.4,1.56,23.63
18.0,Male,86.1,2.0,13.06
20.0,Female,,1.5,21.03
18.0,Female,40.0,1.77,16.35
46.0,Female,40.8,1.71,39.04
43.0,Male,56.4,1.8,21.21
45.0,Female,60.7,1.63,12.32
43.0,Female,40.0,1.69,26.48
29.0,Female,84.4,1.67,17.62
18.0,Female,67.5,1.71,37.91
21.0,Female,62.1,1.68,15.6
41.0,Male,83.7,1.92,17.48
26.0,Female,80.6,1.86,29.21
33.0,Male,60.8,1.78,
18.0,Male,44.8,1.81,19.04
21.0,Male,62.3,1.91,17.4
49.0,Female,97.4,1.67,12.32
19.0,Male,51.4,1.78,13.61
31.0,Male,79.1,1.74,13.83
43.0,Male,57.5,2.0,20.98
43.0,Female,70.6,1.71,22.55
18.0,Female,72.5,1.79,19.58
44.0,Female,68.0,1.66,16.02
21.0,Female,121.6,1.78,16.63
44.0,Male,55.1,1.9,22.13
58.0,Female,51.2,1.72,36.29
35.0,Female,60.8,1.64,19.54
18.0,Male,49.8,1.96,14.35
26.0,Female,64.7,1.75,18.21
24.0,Female,58.5,1.87,24.49
31.0,Female,49.1,1.7,15.73
39.0,Female,67.8,1.59,25.0
22.0,Male,43.3,1.69,13.83
44.0,Female,40.8,1.74,13.11
18.0,Male,71.5,1.69,15.8
50.0,Male,41.1,1.51,31.59
27.0,Male,52.3,1.6,31.64
28.0,Male,73.2,1.76,12.32
41.0,Female,117.7,1.67,17.26
31.0,Male,63.8,1.74,25.22
31.0,Male,62.1,1.71,
18.0,Male,52.0,1.66,20.41
25.0,Female,73.3,1.5,22.55
18.0,Male,50.0,1.83,14.29
34.0,Male,90.0,1.74,13.77
39.0,Male,109.6,1.84,19.77
18.0,Male,43.5,1.77,21.96
20.0,Male,115.4,1.73,27.02
22.0,Male,47.4,1.91,15.36
18.0,Male,54.6,1.66,18.88
36.0,Male,40.0,2.0,27.96
26.0,Female,71.2,2.0,27.16
53.0,Female,46.4,1.7,14.08
18.0,Female,69.9,1.78,12.32
20.0,Male,64.9,1.69,14.87
43.0,Female,47.6,1.65,22.14
23.0,Male,48.9,1.7,21.36
38.0,,78.6,1.98,25.52
51.0,Female,72.2,1.91,17.41
54.0,Female,79.8,1.94,12.32
22.0,Male,62.8,1.71,14.23
26.0,Female,122.7,,17.44
23.0,Female,52.4,1.86,12.32
42.0,,67.7,1.82,21.78
34.0,Female,88.8,1.56,30.43
29.0,Female,101.5,1.9,25.74
18.0,Male,40.0,1.72,12.77
24.0,Male,40.0,2.0,34.62
,Male,50.5,1.76,16.06
41.0,Female,66.2,1.83,24.37
37.0,Female,77.5,1.5,12.32
30.0,Female,119.6,1.72,13.32
38.0,Male,40.0,1.5,36.71
18.0,Male,82.3,1.74,17.15
54.0,Male,71.2,1.7,12.46
34.0,Male,53.0,1.92,16.18
56.0,Female,45.7,1.96,21.34
18.0,Female,79.6,1.75,12.32
42.0,Female,105.3,1.67,12.32
31.0,Male,84.5,1.56,21.57
50.0,Male,98.6,1.54,12.32
27.0,Male,55.4,1.72,14.56
41.0,Female,40.0,1.77,24.52
26.0,Female,63.9,1.75,23.96
47.0,Male,40.0,1.91,27.2
31.0,Female,40.0,2.0,21.2
27.0,Male,91.9,1.5,21.07
20.0,Female,42.4,1.69,20.39
21.0,Male,76.8,1.52,25.59
47.0,Female,70.7,1.66,14.61
33.0,Male,40.0,1.88,21.91
59.0,Male,40.0,1.56,12.32
43.0,Male,46.8,1.67,14.13
27.0,Male,100.7,1.75,12.32
44.0,Female,73.4,1.59,33.25
22.0,Male,63.4,1.83,24.61
19.0,Female,129.9,1.71,12.32
24.0,Female,48.3,1.73,13.22
45.0,Female,80.5,1.89,12.32
35.0,Female,42.9,1.51,13.74
18.0,Male,74.6,1.88,30.5
21.0,Male,66.7,1.93,13.53
31.0,Female,55.0,1.6,16.04
27.0,Female,52.3,1.77,15.08
46.0,Male,65.7,1.75,31.78
53.0,Female,84.7,1.61,18.57
18.0,,80.4,1.97,16.91
18.0,Female,63.4,1.85,15.64
48.0,Female,61.8,1.71,23.64
53.0,,64.4,1.58,18.33
25.0,Male,44.2,1.9,19.26
18.0,Female,43.1,1.75,18.14
18.0,Male,92.1,1.59,25.66
31.0,Male,58.7,1.66,12.32
44.0,Female,59.4,1.67,19.28
59.0,Female,44.5,1.84,20.22
44.0,Female,84.8,2.0,14.34
57.0,Female,80.0,1.79,13.16
20.0,Male,87.1,1.91,21.51
27.0,Male,56.4,1.76,17.49
32.0,Male,58.4,2.0,22.61
42.0,Female,68.5,1.75,33.91
48.0,Female,77.7,1.76,25.3
55.0,Female,67.1,1.58,28.07
31.0,Female,55.7,1.8,25.27
39.0,Female,63.2,1.74,15.32
40.0,Female,64.6,1.55,16.91
35.0,Male,55.0,,23.55
36.0,Female,71.9,1.66,14.97
26.0,Female,56.7,1.73,19.65
48.0,Male,56.0,1.7,19.44
54.0,Female,74.9,1.69,18.71
55.0,Female,,1.68,28.23
18.0,Female,43.0,1.95,12.32
59.0,Male,70.2,1.77,40.19
23.0,Male,96.5,1.8,12.32
30.0,Male,56.6,2.0,23.89
38.0,Female,40.0,1.88,12.64
18.0,Male,101.2,1.59,19.39
48.0,Female,81.9,1.8,18.28
47.0,Male,121.4,1.61,30.03
21.0,Female,70.5,1.84,25.59
23.0,Female,70.5,1.65,20.02
46.0,Male,54.8,1.69,22.85
42.0,Male,72.0,1.9,24.6
29.0,Male,56.3,1.81,22.34
18.0,Male,46.5,1.54,14.01
47.0,Female,51.4,1.88,14.3
43.0,Male,42.6,1.62,21.81
18.0,Male,73.0,1.78,12.32
50.0,Male,87.9,1.68,31.28
35.0,Male,53.0,1.67,16.71
43.0,Female,46.3,1.61,14.14
50.0,Male,82.8,1.9,28.59
53.0,Female,82.9,1.6,12.33
18.0,Female,71.9,1.54,29.64
27.0,Male,41.0,1.82,12.35
18.0,Female,81.9,1.79,12.32
18.0,Male,67.7,1.69,21.16
22.0,Female,99.5,1.79,23.56
31.0,Female,47.4,1.73,20.91
18.0,Male,71.1,1.84,30.36
22.0,Male,89.8,1.79,12.32
28.0,Female,81.7,1.81,34.26
40.0,Male,40.4,1.68,20.47
56.0,Male,40.0,1.63,20.75
41.0,Male,40.2,1.76,19.02
47.0,Male,49.9,1.74,16.01
42.0,Male,41.9,1.84,22.97
26.0,Male,40.0,1.72,20.71
18.0,Male,47.3,1.75,30.5
54.0,Male,79.6,1.87,12.32
19.0,Female,76.6,1.84,19.76
32.0,Female,69.5,1.65,15.8
46.0,Female,68.6,1.63,19.42
46.0,Male,73.0,2.0,14.91
52.0,Female,40.8,1.71,18.31
19.0,Male,42.1,1.6,16.65
34.0,Male,40.0,1.82,15.3
18.0,Female,67.1,1.71,24.9
53.0,Male,67.2,1.68,13.91
29.0,Male,72.1,2.0,21.75
49.0,Female,62.0,1.87,22.02
52.0,Male,71.3,1.84,12.32
28.0,,85.6,1.54,12.32
21.0,Male,51.9,1.57,18.89
33.0,Male,92.8,1.59,15.84
58.0,Female,40.0,1.7,12.32
36.0,Female,44.9,1.79,29.4
33.0,Male,78.6,1.7,16.53
42.0,Female,54.0,1.69,14.91
29.0,Male,53.8,1.66,23.95
26.0,Female,91.7,1.58,
44.0,Male,63.3,1.88,13.03
42.0,Female,98.1,1.73,15.29
39.0,Male,129.9,1.81,26.54
56.0,,40.0,1.85,21.57
32.0,Male,87.2,1.5,16.29
31.0,Male,64.8,1.71,23.64
48.0,Male,51.6,1.8,13.29
21.0,Male,69.4,1.85,17.58
38.0,Female,77.4,1.54,13.58
58.0,Female,76.3,1.56,16.67
42.0,Female,82.3,1.94,20.23
40.0,Female,95.5,1.84,17.55
19.0,Male,60.7,1.7,35.87
34.0,Male,40.0,1.88,18.81
37.0,Female,63.1,1.84,26.39
51.0,Female,55.7,1.5,28.28
52.0,Male,53.1,1.55,12.32
52.0,Female,65.8,1.82,32.86
18.0,Female,,1.72,26.19
35.0,Female,40.4,1.71,29.32
45.0,Male,40.0,1.75,26.88
31.0,Male,40.0,2.0,30.36
27.0,Male,40.0,1.68,19.67
27.0,Female,60.1,1.94,14.02
18.0,Male,73.0,1.89,17.22
35.0,Female,127.6,1.65,15.36
49.0,Female,,1.72,18.86
18.0,,40.0,1.68,24.89
19.0,Female,43.6,1.7,19.35
24.0,Male,54.0,1.71,15.39
44.0,Male,53.1,1.64,27.79
21.0,Female,87.8,1.88,20.22
42.0,Male,67.4,1.91,23.62
38.0,Male,82.7,2.0,24.74
33.0,Male,84.0,1.7,13.38
18.0,Female,58.4,1.87,17.66
48.0,Male,63.8,1.79,25.54
45.0,Male,94.6,1.69,15.15
21.0,Female,40.0,1.58,12.47
59.0,Female,71.1,1.73,34.41
19.0,,116.6,1.72,16.61
36.0,Female,55.0,1.77,21.97
33.0,Female,76.3,1.88,14.97
22.0,Female,48.6,1.72,20.42
42.0,Male,57.3,1.73,19.54
36.0,Female,55.9,1.76,12.32
41.0,Male,73.2,2.0,18.61
23.0,Male,58.7,1.69,23.64
24.0,Female,91.8,1.82,24.37
42.0,Female,47.7,1.72,14.27
55.0,Female,51.9,1.64,25.06
36.0,Male,60.1,1.78,16.06
18.0,Female,40.0,1.56,12.98
23.0,Female,64.7,2.0,20.45
24.0,Male,73.0,1.61,12.36
41.0,Male,90.3,1.76,12.32
48.0,Female,79.1,1.63,27.86
47.0,Female,82.2,1.72,12.4
54.0,Male,40.0,1.79,22.6
33.0,Female,60.7,1.57,15.19
29.0,,48.9,1.7,28.96
50.0,Female,76.4,1.54,33.64
49.0,Female,95.6,1.67,14.67
25.0,Female,85.1,1.98,14.37
34.0,Female,72.9,1.71,20.67
30.0,Female,42.2,1.63,28.27
49.0,Male,40.0,1.76,16.86
18.0,Male,51.8,1.58,16.04
31.0,Male,91.5,,19.09
22.0,Male,64.6,2.0,22.43
47.0,Male,66.5,1.79,16.95
54.0,Male,55.2,1.8,23.47
49.0,Female,105.3,1.83,39.35
18.0,Male,74.1,1.76,13.25
46.0,Female,40.0,1.75,12.41
18.0,Male,91.1,1.76,14.34
21.0,Female,49.2,1.64,23.08
44.0,Female,87.8,1.77,12.32
48.0,Female,40.0,1.77,18.51
48.0,Female,60.0,1.92,32.68
21.0,Male,56.1,1.54,18.76
51.0,Female,46.2,1.73,14.87
36.0,Male,68.2,1.91,
44.0,Male,56.1,1.68,17.28
24.0,Male,51.7,1.93,16.29
51.0,Male,65.8,1.62,21.21
32.0,Female,40.0,1.88,12.32
45.0,Male,59.5,1.61,21.71
58.0,Male,73.5,1.93,14.74
21.0,Male,54.7,1.56,
18.0,Female,52.1,1.73,12.32
59.0,Female,60.6,1.92,30.51
20.0,Female,104.3,1.79,16.4
39.0,Female,65.3,1.61,21.86
52.0,Male,47.8,1.79,17.21
18.0,Female,51.1,1.83,16.85
34.0,Male,62.5,1.87,31.91
59.0,Female,57.4,1.56,25.59
37.0,Male,108.7,1.55,26.23
41.0,Female,40.0,1.6,15.53
53.0,Female,65.2,1.72,22.39
23.0,Male,90.0,1.58,12.32
28.0,Female,91.6,1.68,12.48
48.0,Female,84.1,1.69,16.11
43.0,Female,57.8,1.57,20.73
55.0,Female,100.0,1.63,12.32
30.0,Female,61.9,1.55,12.32
19.0,Male,58.6,1.64,21.91
21.0,Male,80.8,1.8,21.28
21.0,Female,42.7,1.81,12.32
29.0,Male,60.9,1.86,42.08
40.0,Male,78.8,1.7,17.55
37.0,Female,85.3,1.69,19.95
47.0,Female,84.8,1.58,17.99
50.0,Female,72.7,1.74,12.32
43.0,Male,57.4,1.69,13.31
33.0,Male,40.0,1.81,16.68
33.0,Female,129.9,1.56,24.54
50.0,Male,55.0,1.5,26.53
45.0,Male,,1.7,13.71
18.0,Male,41.6,1.94,19.74
43.0,Male,56.9,1.68,21.48
20.0,Female,84.8,1.74,14.13
24.0,Female,96.9,1.88,30.18
24.0,Male,81.2,1.56,31.34
53.0,Female,70.5,1.9,16.4
38.0,Male,58.7,1.72,23.03
26.0,Male,62.0,1.65,13.96
18.0,Male,100.6,1.74,20.9
33.0,Female,63.0,1.71,15.02
45.0,Male,52.7,1.82,24.95
29.0,Male,79.4,1.71,27.97
18.0,,87.4,1.87,12.32
57.0,Female,57.6,1.86,14.02
37.0,Male,108.5,1.97,23.59
52.0,Female,75.7,1.61,17.49
34.0,Female,73.9,1.75,22.1
57.0,Male,67.9,1.78,
36.0,Male,72.8,1.63,12.32
34.0,Female,57.6,1.7,15.66
48.0,Female,49.3,1.74,19.2
18.0,Male,41.6,1.85,12.32
33.0,Male,65.6,1.87,17.53
35.0,Female,47.5,1.81,26.59
19.0,,86.3,1.89,28.62
43.0,Female,73.6,1.79,14.69
48.0,,40.0,2.0,21.29
49.0,Female,56.0,1.6,20.47
48.0,Female,40.0,1.66,12.32
44.0,Female,88.2,1.88,12.32
27.0,Female,55.8,1.67,28.68
41.0,Male,73.2,1.75,23.65
44.0,Male,40.0,1.72,20.78
54.0,Male,58.5,1.96,18.11
45.0,Female,57.5,1.55,17.65
24.0,Female,55.6,1.73,22.74
55.0,Female,,1.83,17.74
32.0,Female,42.4,1.79,18.17
18.0,,40.0,1.68,19.34
33.0,Female,77.0,1.69,12.32
28.0,Female,74.7,1.69,13.79
59.0,Male,65.1,1.68,23.59
21.0,Female,40.0,1.8,19.84
23.0,Male,64.3,1.58,19.45
20.0,Female,43.6,1.6,15.52
21.0,Male,100.4,1.62,33.21
48.0,Female,73.8,1.88,12.32
23.0,Male,52.3,1.74,18.17
51.0,Male,57.3,1.71,19.69
30.0,Male,70.7,1.64,20.83
20.0,Male,92.8,2.0,16.6
18.0,Male,56.2,1.75,17.29
24.0,Female,65.3,1.74,19.87
37.0,Male,60.2,1.76,32.81
54.0,Female,56.6,1.67,12.32
30.0,Female,40.0,1.83,20.31
21.0,,105.4,1.77,25.09
34.0,Male,63.8,1.8,14.24
42.0,Female,58.4,1.7,16.68
43.0,Female,43.9,1.82,19.29
24.0,Male,46.0,1.71,15.44
37.0,Female,58.0,1.89,23.79
55.0,Female,91.1,1.85,29.5
43.0,Female,40.0,1.55,21.42
59.0,Male,40.0,,12.32
49.0,Female,40.0,1.89,16.63
27.0,Female,96.8,1.73,19.05
18.0,Male,80.5,,22.13
36.0,Male,69.0,1.76,13.89
20.0,Male,43.5,1.52,25.35
55.0,Male,54.2,1.62,20.94
34.0,Male,59.8,1.77,24.41
18.0,Female,52.2,1.75,12.48
40.0,Male,45.4,1.84,12.32
28.0,Female,62.1,1.68,28.14
26.0,Male,72.8,1.57,16.61
27.0,Female,73.5,1.92,18.37
22.0,Male,78.4,1.66,19.29
51.0,Female,87.1,1.77,12.9
45.0,Male,76.3,1.67,14.42
33.0,Female,75.5,1.85,18.19
44.0,Female,49.3,1.55,21.77
56.0,Female,92.0,1.86,31.52
35.0,Male,44.0,1.59,27.49
46.0,Male,92.6,1.76,12.37
59.0,,50.2,1.6,13.4
23.0,Male,83.0,1.74,15.13
21.0,Female,78.5,1.8,22.33
56.0,Female,56.2,1.69,21.59
58.0,Male,87.4,1.64,16.94
26.0,Male,92.2,1.59,23.0
18.0,Male,83.1,1.94,17.84
36.0,Female,47.1,1.72,17.46
18.0,Male,53.1,1.7,
53.0,Female,76.2,1.67,18.46
46.0,Female,48.4,1.82,12.32
24.0,Female,47.3,1.92,12.34
46.0,Male,91.8,,23.11
31.0,Female,71.4,1.68,21.59
24.0,Male,103.6,1.88,13.85
35.0,Female,81.0,1.78,19.74
55.0,Female,94.9,1.52,12.32
21.0,Female,80.0,1.67,17.15
29.0,Female,40.0,1.77,29.56
35.0,Male,69.5,1.68,16.62
37.0,Male,48.3,1.81,20.81
18.0,Male,44.8,1.67,12.32
54.0,Male,68.9,1.78,17.82
44.0,Female,63.6,1.77,17.92
27.0,Female,40.0,1.72,17.8
35.0,Female,66.7,1.72,22.98
44.0,Male,47.3,1.72,23.85
39.0,Female,70.3,1.74,17.03
49.0,Female,74.7,1.81,14.58
26.0,Male,57.8,1.61,12.32
18.0,Male,40.0,1.72,32.62
33.0,Male,79.8,1.53,16.6
18.0,,75.8,1.99,15.4
47.0,Female,74.7,1.77,24.44
40.0,Female,83.6,1.84,20.2
38.0,Male,101.8,1.51,20.89
25.0,Female,56.8,,19.28
42.0,Female,86.7,1.7,17.49
18.0,Male,40.9,1.87,39.61
28.0,Male,87.3,1.51,14.46
26.0,Male,89.2,1.81,27.63
23.0,Male,75.9,1.81,12.32
30.0,Male,100.1,1.76,15.73
18.0,Female,80.8,1.85,14.81
58.0,Female,68.6,1.72,12.32
46.0,Female,45.7,1.96,22.82
19.0,Female,55.2,1.71,20.85
31.0,Female,91.7,1.74,12.32
47.0,Male,78.7,1.69,22.0
28.0,Female,40.0,1.57,15.05
22.0,Male,47.1,1.87,34.98
23.0,Male,85.1,1.79,19.2
48.0,Female,87.9,1.5,13.04
24.0,Female,74.2,1.58,30.92
33.0,Male,,1.8,18.21
22.0,Male,49.6,1.87,14.25
18.0,Male,63.9,1.86,24.05
43.0,Male,75.0,1.8,
54.0,Male,69.8,1.75,21.66
42.0,Female,40.5,1.64,12.32
18.0,Female,43.8,1.96,21.88
24.0,Female,45.7,1.63,12.32
43.0,Male,40.0,1.73,12.61
