workout_type,session_duration (hours),calories_burned,workout_frequency (days/week),experience_level
Strength,1.37,,3.0,3.0
HIIT,1.19,919.0,4.0,2.0
Cardio,1.47,936.0,4.0,2.0
HIIT,1.3,864.0,4.0,2.0
Cardio,1.37,1066.0,5.0,2.0
Strength,1.35,772.0,4.0,1.0
HIIT,1.9,963.0,5.0,2.0
Yoga,1.2,1429.0,3.0,2.0
Strength,1.38,676.0,3.0,
Strength,1.1,1235.0,3.0,1.0
HIIT,1.44,987.0,3.0,2.0
Strength,1.58,880.0,4.0,1.0
HIIT,1.87,1073.0,5.0,2.0
Yoga,0.58,1218.0,4.0,1.0
Strength,1.58,1493.0,3.0,1.0
HIIT,1.64,1065.0,3.0,1.0
,1.44,419.0,3.0,3.0
HIIT,1.23,780.0,4.0,3.0
Strength,2.0,695.0,4.0,1.0
Cardio,1.01,670.0,3.0,1.0
Yoga,1.47,942.0,4.0,1.0
Yoga,1.1,976.0,2.0,2.0
HIIT,0.88,993.0,5.0,1.0
Cardio,1.35,1307.0,3.0,1.0
HIIT,1.2,611.0,3.0,3.0
Yoga,1.72,753.0,5.0,2.0
Strength,1.38,735.0,3.0,3.0
Yoga,2.0,1449.0,4.0,3.0
Cardio,0.86,1529.0,,1.0
Strength,1.93,1516.0,3.0,2.0
Cardio,0.52,893.0,4.0,1.0
Yoga,1.36,1783.0,3.0,1.0
Strength,1.64,1445.0,4.0,2.0
Yoga,1.37,872.0,5.0,2.0
Yoga,1.19,1265.0,4.0,3.0
Yoga,1.59,1245.0,3.0,2.0
Strength,0.91,1243.0,4.0,2.0
Cardio,1.34,1239.0,3.0,3.0
,1.31,1595.0,4.0,2.0
Yoga,1.64,770.0,4.0,1.0
Yoga,1.59,1031.0,3.0,3.0
HIIT,1.39,1783.0,4.0,1.0
Strength,1.32,949.0,3.0,2.0
HIIT,1.28,943.0,4.0,1.0
Cardio,1.34,1212.0,2.0,1.0
HIIT,1.29,1040.0,3.0,1.0
Yoga,1.77,990.0,4.0,2.0
Strength,1.84,622.0,4.0,2.0
,1.29,765.0,4.0,2.0
Cardio,1.05,1166.0,,1.0
HIIT,1.36,582.0,4.0,1.0
Cardio,1.66,825.0,,1.0
,1.28,1319.0,2.0,2.0
Cardio,0.98,1426.0,2.0,3.0
HIIT,1.04,1461.0,5.0,2.0
Strength,0.91,1176.0,5.0,1.0
HIIT,0.64,1153.0,2.0,3.0
,2.0,1318.0,4.0,2.0
Strength,0.75,793.0,3.0,2.0
Strength,2.0,998.0,,1.0
\tYoga,2.0,1127.0,2.0,1.0
Cardio,2.0,979.0,4.0,1.0
Yoga,1.3,1149.0,3.0,3.0
Yoga,1.49,1094.0,3.0,2.0
Yoga,0.98,470.0,2.0,2.0
Strength,1.82,904.0,4.0,3.0
HIIT,2.0,988.0,4.0,3.0
Yoga,1.63,1134.0,4.0,2.0
Cardio,1.24,1783.0,3.0,2.0
Strength,1.17,782.0,2.0,1.0
Cardio,1.41,1347.0,2.0,2.0
HIIT,,1278.0,4.0,2.0
Strength,1.87,1228.0,2.0,2.0
Cardio,2.0,1468.0,4.0,2.0
,1.46,1741.0,3.0,2.0
Cardio,0.86,659.0,3.0,
Yoga,2.0,1325.0,3.0,3.0
Yoga,1.4,1446.0,3.0,2.0
HIIT,1.3,902.0,3.0,3.0
Yoga,1.23,526.0,,3.0
HIIT,1.04,533.0,5.0,1.0
HIIT,,763.0,3.0,1.0
Cardio,0.76,1382.0,4.0,
Cardio,0.73,830.0,3.0,3.0
Strength,1.02,406.0,3.0,3.0
Yoga,0.5,639.0,2.0,1.0
Cardio,1.54,844.0,4.0,2.0
Strength,2.0,1299.0,3.0,2.0
Cardio,1.39,1710.0,3.0,1.0
HIIT,1.73,1766.0,5.0,1.0
Cardio,1.18,1140.0,4.0,3.0
Strength,1.44,,4.0,1.0
Strength,1.36,1234.0,4.0,3.0
Strength,0.83,1273.0,2.0,2.0
Cardio,1.22,1674.0,3.0,3.0
Cardio,1.09,906.0,3.0,1.0
Cardio,1.26,1783.0,3.0,2.0
HIIT,1.93,1105.0,4.0,1.0
Yoga,1.24,1436.0,4.0,1.0
Yoga,0.66,1104.0,2.0,1.0
HIIT,1.26,790.0,4.0,1.0
Yoga,2.0,1549.0,2.0,1.0
Cardio,1.31,925.0,3.0,3.0
Cardio,2.0,1236.0,3.0,2.0
Yoga,1.85,991.0,3.0,2.0
Strength,2.0,1395.0,5.0,2.0
Cardio,1.03,1155.0,3.0,2.0
Yoga,1.08,1379.0,3.0,2.0
Yoga,1.33,1011.0,5.0,2.0
Yoga,1.04,1783.0,4.0,2.0
Cardio,0.82,797.0,3.0,1.0
Strength,1.82,744.0,3.0,2.0
HIIT,1.41,1414.0,3.0,2.0
Yoga,1.88,1009.0,5.0,1.0
\nStrength,1.89,716.0,2.0,2.0
Cardio,1.99,1298.0,,2.0
HIIT,2.0,775.0,2.0,2.0
Strength,1.13,905.0,4.0,1.0
Cardio,1.17,1783.0,3.0,2.0
Yoga,1.81,1563.0,4.0,2.0
Strength,1.77,848.0,3.0,2.0
Strength,1.18,992.0,5.0,3.0
Strength,0.88,1375.0,5.0,1.0
Yoga,1.2,1091.0,3.0,3.0
Cardio,1.27,1249.0,2.0,1.0
HIIT,1.33,938.0,4.0,2.0
Yoga,1.52,948.0,3.0,
HIIT,1.75,1102.0,3.0,1.0
Yoga,1.69,1146.0,3.0,1.0
,1.16,670.0,4.0,2.0
HIIT,1.18,589.0,3.0,1.0
HIIT,1.09,1093.0,2.0,1.0
Yoga,1.26,735.0,4.0,2.0
Strength,1.3,1067.0,4.0,2.0
Strength,1.35,1259.0,3.0,2.0
Strength,0.74,1207.0,,3.0
Yoga,2.0,950.0,2.0,3.0
HIIT,1.07,978.0,2.0,2.0
Yoga,1.11,712.0,2.0,3.0
Cardio,2.0,686.0,3.0,3.0
Yoga,1.26,986.0,3.0,1.0
Strength,1.93,1042.0,4.0,2.0
HIIT,1.44,543.0,5.0,3.0
Strength,1.5,703.0,4.0,3.0
Strength,2.0,1402.0,4.0,2.0
HIIT,2.0,457.0,3.0,1.0
Yoga,1.28,1044.0,2.0,
Strength,1.65,455.0,3.0,2.0
,1.09,609.0,2.0,3.0
Cardio,1.3,1250.0,5.0,1.0
HIIT,1.27,1183.0,4.0,1.0
Strength,0.92,1267.0,4.0,1.0
Strength,1.77,1105.0,2.0,1.0
Strength,1.21,912.0,2.0,2.0
Yoga,1.19,1171.0,4.0,3.0
Yoga,1.19,323.0,3.0,1.0
Yoga,1.46,729.0,4.0,2.0
Cardio,0.99,1040.0,5.0,3.0
\tYoga,0.96,668.0,4.0,1.0
Yoga,1.08,1442.0,5.0,3.0
Strength,1.48,,4.0,1.0
HIIT,1.67,607.0,2.0,2.0
Strength,1.43,506.0,3.0,3.0
Strength,1.61,810.0,,2.0
Strength,1.33,1138.0,3.0,1.0
Yoga,1.22,1173.0,3.0,3.0
Strength,0.69,1282.0,2.0,1.0
,0.95,914.0,2.0,2.0
Strength,1.42,936.0,4.0,2.0
Strength,1.09,948.0,2.0,1.0
Yoga,1.48,1156.0,4.0,2.0
Cardio,1.87,1019.0,4.0,2.0
Cardio,1.05,1161.0,4.0,3.0
HIIT,1.36,1311.0,2.0,2.0
HIIT,1.13,766.0,2.0,1.0
HIIT,1.38,1185.0,3.0,2.0
Cardio,1.97,757.0,5.0,1.0
Yoga,1.45,998.0,4.0,2.0
Yoga,1.11,1100.0,2.0,1.0
Yoga,1.48,734.0,4.0,2.0
HIIT,1.27,1173.0,2.0,3.0
Cardio,0.97,906.0,2.0,1.0
Cardio,0.6,829.0,4.0,1.0
Yoga,0.93,903.0,2.0,
Strength,1.03,327.0,3.0,1.0
\tCardio,1.18,1356.0,3.0,3.0
Strength,0.9,886.0,2.0,1.0
Yoga,1.28,1475.0,5.0,2.0
Cardio,1.81,1162.0,3.0,2.0
Yoga,1.23,1186.0,4.0,1.0
Cardio,1.37,1308.0,2.0,2.0
Strength,2.0,564.0,3.0,2.0
Cardio,1.04,951.0,4.0,2.0
HIIT,1.2,742.0,4.0,3.0
Yoga,1.47,1394.0,3.0,2.0
Cardio,1.97,1091.0,3.0,1.0
Yoga,2.0,1218.0,3.0,2.0
Cardio,0.93,1157.0,2.0,3.0
Cardio,1.4,735.0,3.0,1.0
Cardio,1.28,725.0,3.0,1.0
Strength,1.34,1629.0,5.0,1.0
HIIT,0.82,1278.0,5.0,1.0
Yoga,1.81,1242.0,4.0,2.0
,1.26,901.0,3.0,1.0
Yoga,0.79,1612.0,3.0,3.0
Yoga,1.57,1132.0,3.0,3.0
Strength,1.64,996.0,4.0,2.0
Yoga,1.35,1193.0,3.0,2.0
HIIT,1.36,1034.0,4.0,1.0
Strength,1.1,891.0,3.0,1.0
Strength,1.65,1374.0,5.0,2.0
,1.31,500.0,2.0,2.0
HIIT,,384.0,3.0,1.0
Yoga,1.53,763.0,2.0,1.0
Strength,2.0,1069.0,4.0,2.0
Strength,0.93,416.0,5.0,2.0
HIIT,1.21,973.0,4.0,1.0
Yoga,2.0,1243.0,2.0,1.0
HIIT,1.5,741.0,3.0,2.0
HIIT,1.52,854.0,3.0,3.0
Cardio,2.0,1314.0,3.0,1.0
Strength,1.38,433.0,4.0,1.0
Yoga,1.41,969.0,3.0,2.0
Cardio,1.36,764.0,4.0,2.0
HIIT,1.27,790.0,2.0,2.0
Cardio,2.0,452.0,5.0,1.0
Yoga,1.12,878.0,3.0,1.0
Cardio,2.0,1206.0,5.0,3.0
HIIT,1.19,523.0,2.0,1.0
Yoga,1.98,1282.0,4.0,1.0
Strength,1.42,749.0,4.0,2.0
Yoga,1.49,1415.0,4.0,2.0
HIIT,2.0,930.0,3.0,3.0
Cardio,0.68,1303.0,4.0,3.0
Cardio,2.0,692.0,3.0,2.0
Yoga,1.4,1776.0,,2.0
Strength,1.3,1590.0,4.0,2.0
HIIT,1.39,960.0,3.0,2.0
Yoga,1.53,827.0,4.0,2.0
Yoga,2.0,816.0,3.0,2.0
Strength,1.14,524.0,2.0,3.0
Yoga,1.53,880.0,4.0,2.0
Cardio,0.76,1239.0,2.0,2.0
Cardio,1.18,1086.0,4.0,2.0
Yoga,1.46,1128.0,2.0,1.0
Cardio,2.0,1783.0,4.0,1.0
Cardio,1.1,1783.0,3.0,1.0
Cardio,1.25,768.0,4.0,2.0
Yoga,1.6,993.0,5.0,1.0
Yoga,1.58,1141.0,3.0,
Yoga,1.77,1006.0,4.0,3.0
HIIT,1.52,1107.0,3.0,1.0
Strength,1.38,1368.0,2.0,3.0
,1.21,708.0,4.0,2.0
Strength,1.12,790.0,4.0,3.0
Yoga,2.0,868.0,4.0,2.0
HIIT,1.26,682.0,3.0,2.0
Strength,1.1,1115.0,3.0,1.0
Strength,1.31,734.0,2.0,2.0
Strength,0.72,940.0,3.0,1.0
\nStrength,2.0,1281.0,4.0,2.0
HIIT,1.14,628.0,5.0,1.0
HIIT,2.0,638.0,4.0,2.0
Cardio,1.41,608.0,3.0,1.0
Strength,1.44,1116.0,2.0,2.0
HIIT,1.08,825.0,5.0,2.0
HIIT,0.77,1030.0,,1.0
Cardio,1.08,702.0,3.0,2.0
\tYoga,1.25,1033.0,4.0,2.0
Yoga,1.59,1131.0,3.0,1.0
Cardio,1.59,722.0,4.0,3.0
Cardio,1.03,1403.0,3.0,1.0
Cardio,1.28,1159.0,3.0,1.0
Cardio,0.94,721.0,4.0,1.0
Cardio,1.66,466.0,2.0,3.0
Yoga,2.0,443.0,4.0,2.0
Strength,1.98,1404.0,3.0,1.0
HIIT,1.02,1311.0,4.0,1.0
Cardio,2.0,526.0,5.0,
Cardio,2.0,1010.0,5.0,1.0
Yoga,1.26,949.0,2.0,2.0
Strength,1.85,1361.0,4.0,1.0
Yoga,2.0,993.0,4.0,1.0
Strength,1.31,881.0,2.0,1.0
Yoga,2.0,478.0,3.0,1.0
Strength,1.62,617.0,3.0,1.0
Strength,0.89,1106.0,5.0,3.0
Cardio,1.37,1266.0,4.0,1.0
Yoga,1.82,1144.0,2.0,1.0
Yoga,1.1,1293.0,4.0,2.0
Cardio,1.95,437.0,2.0,2.0
Yoga,1.17,968.0,5.0,2.0
Cardio,1.15,1368.0,4.0,1.0
Cardio,1.31,676.0,3.0,2.0
Cardio,1.28,787.0,2.0,2.0
HIIT,1.66,1439.0,2.0,1.0
Yoga,1.01,312.0,4.0,2.0
Yoga,1.39,1431.0,3.0,3.0
HIIT,1.79,488.0,4.0,1.0
Strength,1.21,1379.0,4.0,2.0
Cardio,1.3,708.0,4.0,1.0
Cardio,2.0,1153.0,3.0,1.0
Strength,1.86,960.0,4.0,2.0
HIIT,1.53,600.0,4.0,3.0
Strength,1.62,900.0,5.0,1.0
Strength,1.39,303.0,2.0,2.0
Strength,1.43,1423.0,3.0,2.0
Yoga,0.96,556.0,2.0,2.0
Strength,0.68,1129.0,3.0,1.0
HIIT,2.0,1148.0,2.0,2.0
Yoga,1.1,1389.0,3.0,1.0
Cardio,1.59,851.0,3.0,2.0
Strength,2.0,1349.0,2.0,2.0
Cardio,1.47,1069.0,4.0,1.0
Yoga,0.92,1465.0,3.0,1.0
Cardio,1.29,918.0,2.0,1.0
Yoga,1.63,1109.0,2.0,2.0
Strength,1.08,,4.0,2.0
Cardio,1.25,1410.0,4.0,2.0
Strength,0.94,934.0,2.0,1.0
Cardio,0.97,1013.0,5.0,3.0
Cardio,0.63,1186.0,2.0,2.0
Yoga,0.52,846.0,3.0,3.0
Yoga,1.48,1047.0,3.0,1.0
Strength,1.39,1066.0,3.0,1.0
Cardio,,1060.0,5.0,1.0
Yoga,0.88,1133.0,3.0,3.0
Strength,1.0,1213.0,2.0,
Strength,2.0,1319.0,5.0,1.0
Strength,2.0,494.0,3.0,3.0
Yoga,1.29,682.0,3.0,2.0
Yoga,2.0,1185.0,4.0,1.0
,1.51,1151.0,4.0,3.0
HIIT,1.93,541.0,3.0,2.0
Strength,1.17,817.0,3.0,1.0
Cardio,1.47,1273.0,4.0,1.0
,1.24,1172.0,3.0,3.0
Cardio,1.44,1445.0,3.0,2.0
Cardio,1.45,1783.0,2.0,2.0
Cardio,1.64,962.0,4.0,3.0
Strength,0.85,1303.0,2.0,3.0
Strength,2.0,1098.0,3.0,1.0
Cardio,1.45,507.0,3.0,1.0
Strength,2.0,527.0,4.0,3.0
Yoga,0.89,1674.0,3.0,2.0
Strength,1.93,964.0,4.0,1.0
HIIT,1.97,406.0,5.0,2.0
,1.49,1029.0,4.0,2.0
HIIT,0.89,1198.0,5.0,2.0
Cardio,1.32,706.0,2.0,2.0
Strength,,884.0,2.0,2.0
HIIT,1.72,699.0,4.0,1.0
Cardio,1.71,1163.0,4.0,1.0
Strength,2.0,1074.0,3.0,3.0
Cardio,0.9,1159.0,5.0,3.0
Yoga,1.44,303.0,3.0,1.0
Cardio,1.27,1305.0,2.0,2.0
Cardio,1.34,1709.0,4.0,1.0
\nStrength,1.84,577.0,4.0,3.0
,1.67,924.0,3.0,1.0
Strength,2.0,1582.0,3.0,2.0
HIIT,1.04,842.0,3.0,1.0
Cardio,1.22,765.0,2.0,
Yoga,1.45,860.0,4.0,1.0
Strength,1.25,1082.0,3.0,2.0
Cardio,1.19,1640.0,3.0,3.0
Yoga,0.99,1178.0,5.0,1.0
HIIT,1.66,811.0,3.0,1.0
Cardio,2.0,855.0,2.0,1.0
,1.19,458.0,3.0,3.0
Strength,2.0,1187.0,4.0,1.0
Cardio,1.65,1334.0,2.0,2.0
Strength,1.02,1184.0,4.0,1.0
Yoga,1.52,477.0,2.0,2.0
HIIT,1.89,,2.0,3.0
Yoga,1.43,1633.0,4.0,1.0
Cardio,1.28,1538.0,3.0,3.0
HIIT,1.64,857.0,4.0,
Cardio,0.82,1487.0,4.0,2.0
Strength,1.55,879.0,3.0,2.0
Strength,2.0,867.0,5.0,2.0
Strength,2.0,913.0,3.0,3.0
Yoga,1.46,1050.0,3.0,2.0
Yoga,1.94,1568.0,3.0,1.0
Strength,1.22,817.0,4.0,1.0
Cardio,1.29,840.0,3.0,3.0
HIIT,1.3,1248.0,3.0,1.0
HIIT,1.19,1302.0,3.0,1.0
Strength,1.95,1205.0,5.0,1.0
Strength,1.15,751.0,3.0,1.0
Strength,2.0,945.0,4.0,2.0
HIIT,1.97,1110.0,4.0,3.0
Yoga,1.67,1296.0,3.0,3.0
Cardio,1.45,949.0,3.0,2.0
Yoga,1.6,1112.0,4.0,2.0
Strength,2.0,,3.0,1.0
Cardio,1.19,596.0,5.0,1.0
HIIT,1.9,1084.0,5.0,1.0
HIIT,1.02,614.0,4.0,1.0
HIIT,2.0,831.0,4.0,1.0
HIIT,1.42,685.0,4.0,3.0
Cardio,1.23,730.0,2.0,2.0
Cardio,1.65,749.0,,2.0
HIIT,1.95,621.0,3.0,3.0
HIIT,1.26,,3.0,3.0
Yoga,1.46,1219.0,4.0,1.0
Cardio,0.5,580.0,3.0,3.0
Cardio,1.42,1306.0,2.0,1.0
HIIT,1.69,1242.0,4.0,1.0
Yoga,1.95,1105.0,2.0,2.0
Strength,1.05,624.0,3.0,1.0
Cardio,1.07,691.0,2.0,3.0
Strength,1.1,779.0,3.0,2.0
,1.04,1564.0,2.0,2.0
Cardio,,1265.0,4.0,2.0
Yoga,1.39,708.0,3.0,1.0
Strength,1.97,1132.0,4.0,1.0
Strength,1.91,474.0,5.0,1.0
HIIT,1.06,758.0,2.0,1.0
Yoga,1.37,1231.0,2.0,1.0
Strength,2.0,1065.0,4.0,2.0
Yoga,1.95,782.0,3.0,
Strength,1.05,1619.0,5.0,3.0
Cardio,1.46,1108.0,3.0,1.0
Strength,0.79,1027.0,2.0,1.0
Strength,1.46,860.0,5.0,2.0
Yoga,0.56,864.0,2.0,2.0
Cardio,1.96,1596.0,4.0,1.0
Yoga,1.15,1302.0,4.0,1.0
Yoga,1.15,1211.0,2.0,3.0
Yoga,2.0,444.0,5.0,3.0
HIIT,1.24,964.0,3.0,1.0
Cardio,1.12,487.0,5.0,2.0
Strength,1.3,1311.0,3.0,1.0
Cardio,1.71,466.0,3.0,2.0
Yoga,1.29,785.0,4.0,1.0
HIIT,1.78,432.0,2.0,2.0
Yoga,2.0,685.0,3.0,2.0
Cardio,1.3,1196.0,4.0,2.0
Cardio,0.84,1110.0,3.0,3.0
Yoga,1.51,786.0,3.0,1.0
HIIT,0.85,704.0,3.0,3.0
,0.69,1656.0,5.0,1.0
HIIT,2.0,1472.0,4.0,2.0
Strength,1.53,699.0,3.0,1.0
Cardio,1.24,1214.0,3.0,2.0
Cardio,0.96,919.0,4.0,2.0
Cardio,1.52,1362.0,3.0,1.0
HIIT,0.58,1114.0,3.0,1.0
Yoga,1.18,,4.0,2.0
HIIT,1.48,1460.0,5.0,3.0
HIIT,2.0,1751.0,2.0,2.0
Strength,1.34,1083.0,4.0,2.0
Cardio,1.55,1389.0,,3.0
Strength,2.0,1162.0,3.0,3.0
Strength,1.8,1223.0,4.0,2.0
Yoga,,1783.0,2.0,1.0
HIIT,1.36,1073.0,2.0,
Strength,1.94,1436.0,2.0,3.0
Cardio,1.3,741.0,4.0,3.0
HIIT,1.45,1019.0,2.0,2.0
\tCardio,1.13,682.0,4.0,2.0
Cardio,1.4,1141.0,3.0,1.0
,1.46,1046.0,3.0,3.0
Strength,1.3,933.0,2.0,3.0
HIIT,1.69,1783.0,3.0,3.0
Cardio,0.95,715.0,5.0,3.0
Strength,1.05,939.0,3.0,2.0
Cardio,0.96,1353.0,4.0,1.0
Cardio,1.15,813.0,3.0,2.0
Strength,1.19,1104.0,4.0,2.0
Yoga,1.52,727.0,5.0,2.0
Cardio,1.87,1073.0,,1.0
Strength,0.78,682.0,4.0,1.0
Yoga,0.68,1783.0,2.0,2.0
Strength,1.68,758.0,3.0,3.0
Strength,1.39,698.0,4.0,1.0
Cardio,2.0,1256.0,3.0,2.0
HIIT,1.93,1117.0,3.0,2.0
Yoga,1.18,1564.0,3.0,2.0
Cardio,1.1,1285.0,3.0,3.0
Cardio,1.42,1044.0,3.0,3.0
Strength,1.79,1108.0,4.0,3.0
Strength,1.78,1179.0,2.0,1.0
HIIT,1.49,859.0,4.0,2.0
Cardio,0.83,940.0,5.0,2.0
Cardio,0.77,1047.0,3.0,3.0
Strength,1.14,775.0,3.0,1.0
HIIT,1.32,1298.0,2.0,3.0
Strength,2.0,993.0,3.0,2.0
Yoga,1.07,715.0,4.0,2.0
Yoga,1.79,731.0,4.0,3.0
Strength,0.86,1068.0,4.0,1.0
Strength,2.0,742.0,3.0,1.0
HIIT,1.49,717.0,4.0,3.0
Cardio,1.36,1220.0,3.0,2.0
Yoga,1.62,1148.0,4.0,3.0
Cardio,0.84,766.0,5.0,1.0
HIIT,1.21,1063.0,3.0,1.0
HIIT,1.61,1361.0,2.0,3.0
Cardio,1.2,1261.0,2.0,2.0
Strength,1.24,1175.0,3.0,1.0
Yoga,0.62,1783.0,3.0,1.0
Yoga,2.0,877.0,3.0,2.0
Strength,,1303.0,2.0,3.0
HIIT,1.99,929.0,,2.0
Cardio,2.0,1091.0,2.0,1.0
Yoga,2.0,1783.0,2.0,2.0
Cardio,1.64,816.0,3.0,2.0
Yoga,2.0,1168.0,3.0,2.0
HIIT,1.44,669.0,3.0,3.0
Cardio,0.88,710.0,3.0,2.0
HIIT,1.31,723.0,4.0,3.0
Yoga,2.0,1130.0,5.0,3.0
Yoga,1.16,1437.0,2.0,1.0
Yoga,1.78,533.0,3.0,2.0
HIIT,0.97,1175.0,,2.0
Strength,1.16,1408.0,4.0,1.0
Cardio,1.48,419.0,4.0,2.0
Strength,0.98,1263.0,5.0,1.0
Cardio,1.36,614.0,3.0,1.0
HIIT,2.0,1783.0,4.0,2.0
Yoga,2.0,642.0,3.0,2.0
Strength,1.24,1048.0,2.0,3.0
Cardio,0.85,1043.0,5.0,3.0
Yoga,2.0,1131.0,3.0,1.0
HIIT,1.33,893.0,3.0,1.0
Yoga,1.09,775.0,4.0,2.0
HIIT,1.99,1374.0,3.0,1.0
Yoga,1.63,843.0,2.0,2.0
Cardio,1.1,1470.0,4.0,3.0
Cardio,1.16,1187.0,4.0,2.0
HIIT,1.37,854.0,4.0,2.0
Strength,2.0,1050.0,5.0,3.0
HIIT,1.37,1171.0,3.0,1.0
Strength,1.02,1360.0,4.0,1.0
Strength,1.37,1783.0,4.0,1.0
Strength,1.4,614.0,2.0,1.0
Cardio,1.88,1783.0,4.0,1.0
Yoga,1.38,915.0,4.0,1.0
Strength,1.09,1375.0,2.0,3.0
Cardio,1.38,1608.0,5.0,2.0
Yoga,1.44,676.0,4.0,2.0
Strength,1.45,952.0,4.0,3.0
HIIT,1.12,984.0,4.0,2.0
Yoga,1.7,1114.0,4.0,2.0
Strength,1.09,962.0,5.0,2.0
,1.47,1783.0,5.0,3.0
Strength,1.45,999.0,3.0,3.0
Cardio,1.92,1229.0,4.0,2.0
Strength,1.43,1427.0,,1.0
HIIT,1.61,567.0,3.0,1.0
Strength,1.18,1725.0,2.0,1.0
Yoga,1.39,1156.0,5.0,2.0
Strength,1.49,649.0,3.0,1.0
Yoga,1.28,1480.0,3.0,3.0
HIIT,1.32,1266.0,4.0,3.0
Strength,1.51,837.0,3.0,1.0
Strength,1.91,887.0,3.0,2.0
Yoga,2.0,816.0,2.0,1.0
,1.01,1276.0,4.0,1.0
Strength,2.0,1213.0,4.0,2.0
Strength,1.18,335.0,2.0,1.0
Yoga,0.97,792.0,3.0,2.0
